metric,statistic,mean_delta_f1_pp,worst_delta_f1_pp,best_delta_f1_pp,mean_f1_percent,std_f1_percent
l2_distance,mean,-0.5890772797304249,-4.07894736842106,3.6615843942367383,87.34286637043347,8.296396293376224
cos_sim,mean,-1.651694216221068,-4.07894736842106,1.4565826330532272,86.28024943394283,8.189253554076133
l2_distance,max,-1.714319899035267,-6.254272043745734,0.3639062462591935,86.21762375112864,8.143248150874923
std_diff,mean,-1.8148730040241594,-6.547619047619047,1.2779552715654896,86.11707064613974,8.270994990935158
cos_sim,max,-2.807905916516462,-15.725288831835682,1.065589440523984,85.12403773364743,10.945766592389292
std_diff,min,-2.8114350835335102,-6.410256410256421,-1.1360023124729055,85.12050856663039,8.209846096619488
mean_diff,max,-3.1101857940749045,-13.157894736842104,2.6792590147841637,84.821757856089,10.424621045823631
std_diff,max,-3.8411981797077805,-11.578947368421044,1.985646329537738,84.09074547045611,10.419949878354164
mean_diff,min,-3.87689259630613,-17.29323308270676,1.0018731418947937,84.05505105385777,11.247894782605588
l2_distance,min,-4.056774933342517,-18.788249694002445,-0.1687766749915442,83.87516871682138,11.466825976298292
cos_sim,min,-4.304165119267488,-11.923235151891332,1.6590612506130031,83.6277785308964,10.146621615006488
mean_diff,mean,-5.07242391820726,-27.524893314366995,3.230228261517376,82.85951973195664,13.529728752968111
