model,dataset,configuration,metric,statistic,feature_count,evaluation_cohort,validation_rows,positive_samples,negative_samples,precision,recall,f1,tp,fp,fn,tn,full_f1,delta_f1_pp
Qwen2.5-VL-7B,EarthVQA,cos_sim_mean,cos_sim,mean,6,fixed_full_non_all_nan,3260,178,3082,0.9382716049382716,0.8539325842696629,0.8941176470588236,152,10,26,3072,0.8795518207282913,1.4565826330532272
Qwen2.5-VL-7B,EarthVQA,cos_sim_max,cos_sim,max,6,fixed_full_non_all_nan,3260,178,3082,0.9433962264150944,0.8426966292134831,0.8902077151335311,150,9,28,3073,0.8795518207282913,1.065589440523984
Qwen2.5-VL-7B,EarthVQA,cos_sim_min,cos_sim,min,6,fixed_full_non_all_nan,3260,178,3082,0.949685534591195,0.848314606741573,0.8961424332344213,151,8,27,3074,0.8795518207282913,1.6590612506130031
Qwen2.5-VL-7B,EarthVQA,mean_diff_mean,mean_diff,mean,6,fixed_full_non_all_nan,3260,178,3082,0.9933774834437086,0.8426966292134831,0.9118541033434652,150,1,28,3081,0.8795518207282913,3.230228261517376
Qwen2.5-VL-7B,EarthVQA,mean_diff_max,mean_diff,max,6,fixed_full_non_all_nan,3260,178,3082,0.9803921568627452,0.8426966292134831,0.9063444108761328,150,3,28,3079,0.8795518207282913,2.6792590147841637
Qwen2.5-VL-7B,EarthVQA,mean_diff_min,mean_diff,min,6,fixed_full_non_all_nan,3260,178,3082,0.9797297297297296,0.8146067415730337,0.8895705521472392,145,3,33,3079,0.8795518207282913,1.0018731418947937
Qwen2.5-VL-7B,EarthVQA,std_diff_mean,std_diff,mean,6,fixed_full_non_all_nan,3260,178,3082,0.9263803680981596,0.848314606741573,0.8856304985337243,151,12,27,3070,0.8795518207282913,0.607867780543303
Qwen2.5-VL-7B,EarthVQA,std_diff_max,std_diff,max,6,fixed_full_non_all_nan,3260,178,3082,0.95,0.8539325842696629,0.8994082840236687,152,8,26,3074,0.8795518207282913,1.985646329537738
Qwen2.5-VL-7B,EarthVQA,std_diff_min,std_diff,min,6,fixed_full_non_all_nan,3260,178,3082,0.8524590163934426,0.8764044943820225,0.8642659279778393,156,27,22,3055,0.8795518207282913,-1.5285892750452
Qwen2.5-VL-7B,EarthVQA,l2_distance_mean,l2_distance,mean,6,fixed_full_non_all_nan,3260,178,3082,0.9807692307692308,0.8595505617977528,0.9161676646706588,153,3,25,3079,0.8795518207282913,3.6615843942367383
Qwen2.5-VL-7B,EarthVQA,l2_distance_max,l2_distance,max,6,fixed_full_non_all_nan,3260,178,3082,0.8959537572254336,0.8707865168539326,0.8831908831908832,155,18,23,3064,0.8795518207282913,0.3639062462591935
Qwen2.5-VL-7B,EarthVQA,l2_distance_min,l2_distance,min,6,fixed_full_non_all_nan,3260,178,3082,0.8786127167630058,0.8539325842696629,0.8660968660968661,152,21,26,3061,0.8795518207282913,-1.3454954631425209
Qwen2.5-VL-7B,LingoQA,cos_sim_mean,cos_sim,mean,6,fixed_full_non_all_nan,3318,168,3150,0.933774834437086,0.8392857142857143,0.8840125391849529,141,10,27,3140,0.9009584664536742,-1.694592726872124
Qwen2.5-VL-7B,LingoQA,cos_sim_max,cos_sim,max,6,fixed_full_non_all_nan,3318,168,3150,0.9790209790209792,0.8333333333333334,0.9003215434083601,140,3,28,3147,0.9009584664536742,-0.0636923045314041
Qwen2.5-VL-7B,LingoQA,cos_sim_min,cos_sim,min,6,fixed_full_non_all_nan,3318,168,3150,0.9342105263157896,0.8452380952380952,0.8875,142,10,26,3140,0.9009584664536742,-1.3458466453674212
Qwen2.5-VL-7B,LingoQA,mean_diff_mean,mean_diff,mean,6,fixed_full_non_all_nan,3318,168,3150,0.9716312056737588,0.8154761904761905,0.8867313915857605,137,4,31,3146,0.9009584664536742,-1.4227074867913636
Qwen2.5-VL-7B,LingoQA,mean_diff_max,mean_diff,max,6,fixed_full_non_all_nan,3318,168,3150,0.9928057553956836,0.8214285714285714,0.8990228013029316,138,1,30,3149,0.9009584664536742,-0.1935665150742616
Qwen2.5-VL-7B,LingoQA,mean_diff_min,mean_diff,min,6,fixed_full_non_all_nan,3318,168,3150,0.950354609929078,0.7976190476190477,0.8673139158576052,134,7,34,3143,0.9009584664536742,-3.3644550596068967
Qwen2.5-VL-7B,LingoQA,std_diff_mean,std_diff,mean,6,fixed_full_non_all_nan,3318,168,3150,0.986206896551724,0.8511904761904762,0.9137380191693292,143,2,25,3148,0.9009584664536742,1.2779552715654896
Qwen2.5-VL-7B,LingoQA,std_diff_max,std_diff,max,6,fixed_full_non_all_nan,3318,168,3150,0.9523809523809524,0.8333333333333334,0.8888888888888888,140,7,28,3143,0.9009584664536742,-1.2069577564785328
Qwen2.5-VL-7B,LingoQA,std_diff_min,std_diff,min,6,fixed_full_non_all_nan,3318,168,3150,0.9568345323741008,0.7916666666666666,0.8664495114006515,133,6,35,3144,0.9009584664536742,-3.450895505302265
Qwen2.5-VL-7B,LingoQA,l2_distance_mean,l2_distance,mean,6,fixed_full_non_all_nan,3318,168,3150,0.934640522875817,0.8511904761904762,0.8909657320872274,143,10,25,3140,0.9009584664536742,-0.9992734366446764
Qwen2.5-VL-7B,LingoQA,l2_distance_max,l2_distance,max,6,fixed_full_non_all_nan,3318,168,3150,0.9166666666666666,0.8511904761904762,0.8827160493827161,143,13,25,3137,0.9009584664536742,-1.8242417070958084
Qwen2.5-VL-7B,LingoQA,l2_distance_min,l2_distance,min,6,fixed_full_non_all_nan,3318,168,3150,0.9645390070921984,0.8095238095238095,0.8802588996763754,136,5,32,3145,0.9009584664536742,-2.0699566777298783
Qwen2.5-VL-7B,VQAv2,cos_sim_mean,cos_sim,mean,6,fixed_full_non_all_nan,2658,204,2454,0.9276315789473684,0.6911764705882353,0.7921348314606742,141,11,63,2443,0.8194842406876791,-2.7349409227004906
Qwen2.5-VL-7B,VQAv2,cos_sim_max,cos_sim,max,6,fixed_full_non_all_nan,2658,204,2454,1.0,0.7009803921568627,0.8242074927953891,143,0,61,2454,0.8194842406876791,0.4723252107709963
Qwen2.5-VL-7B,VQAv2,cos_sim_min,cos_sim,min,6,fixed_full_non_all_nan,2658,204,2454,0.7202072538860104,0.6813725490196079,0.7002518891687658,139,54,65,2400,0.8194842406876791,-11.923235151891332
Qwen2.5-VL-7B,VQAv2,mean_diff_mean,mean_diff,mean,6,fixed_full_non_all_nan,2658,204,2454,0.8789808917197452,0.6764705882352942,0.7645429362880887,138,19,66,2435,0.8194842406876791,-5.494130439959044
Qwen2.5-VL-7B,VQAv2,mean_diff_max,mean_diff,max,6,fixed_full_non_all_nan,2658,204,2454,0.9133333333333332,0.6715686274509803,0.7740112994350282,137,13,67,2441,0.8194842406876791,-4.547294125265089
Qwen2.5-VL-7B,VQAv2,mean_diff_min,mean_diff,min,6,fixed_full_non_all_nan,2658,204,2454,0.9155844155844156,0.6911764705882353,0.7877094972067039,141,13,63,2441,0.8194842406876791,-3.17747434809752
Qwen2.5-VL-7B,VQAv2,std_diff_mean,std_diff,mean,6,fixed_full_non_all_nan,2658,204,2454,0.9403973509933776,0.696078431372549,0.8,142,9,62,2445,0.8194842406876791,-1.9484240687679064
