model,metric,statistic,mean_f1_percent
Qwen2.5-VL-7B,cos_sim,mean,85.67550059014836
Qwen2.5-VL-7B,cos_sim,max,87.15789171124267
Qwen2.5-VL-7B,cos_sim,min,82.79647741343958
Qwen2.5-VL-7B,mean_diff,mean,85.43761437391048
Qwen2.5-VL-7B,mean_diff,max,85.97928372046975
Qwen2.5-VL-7B,mean_diff,min,84.81979884038495
Qwen2.5-VL-7B,std_diff,mean,86.64561725676845
Qwen2.5-VL-7B,std_diff,max,84.60990576375193
Qwen2.5-VL-7B,std_diff,min,84.5844540398891
Qwen2.5-VL-7B,l2_distance,mean,87.2853989395486
Qwen2.5-VL-7B,l2_distance,max,85.83851624956313
Qwen2.5-VL-7B,l2_distance,min,85.14217900976718
InternVL3-8B,cos_sim,mean,95.25884377079345
InternVL3-8B,cos_sim,max,95.90442058444036
InternVL3-8B,cos_sim,min,93.31738340311195
InternVL3-8B,mean_diff,mean,94.27155595257058
InternVL3-8B,mean_diff,max,95.06878052937986
InternVL3-8B,mean_diff,min,95.65896787489216
InternVL3-8B,std_diff,mean,94.51615368786194
InternVL3-8B,std_diff,max,94.63763928959175
InternVL3-8B,std_diff,min,94.5729019978885
InternVL3-8B,l2_distance,mean,95.94494742896437
InternVL3-8B,l2_distance,max,95.14560084711977
InternVL3-8B,l2_distance,min,95.55309458255743
LLaVA-1.5-7B,cos_sim,mean,77.90640394088669
LLaVA-1.5-7B,cos_sim,max,72.30980090525927
LLaVA-1.5-7B,cos_sim,min,74.76947477613774
LLaVA-1.5-7B,mean_diff,mean,68.86938886938886
LLaVA-1.5-7B,mean_diff,max,73.41720931841736
LLaVA-1.5-7B,mean_diff,min,71.68638644629621
LLaVA-1.5-7B,std_diff,mean,77.18944099378882
LLaVA-1.5-7B,std_diff,max,73.02469135802468
LLaVA-1.5-7B,std_diff,min,76.20416966211359
LLaVA-1.5-7B,l2_distance,mean,78.79825274278748
LLaVA-1.5-7B,l2_distance,max,77.66875415670299
LLaVA-1.5-7B,l2_distance,min,70.93023255813954
