model,dataset,configuration,ablation_type,included_groups,removed_group,feature_count,evaluation_cohort,validation_rows,positive_samples,negative_samples,precision,recall,f1,tp,fp,fn,tn,delta_f1_pp
Qwen2.5-VL-7B,EarthVQA,full,full,"[""cos_sim"", ""mean_diff"", ""std_diff"", ""l2_distance""]",,72,fixed_full_non_all_nan,3260,178,3082,0.8770949720670391,0.8820224719101124,0.8795518207282913,157,22,21,3060,0.0
Qwen2.5-VL-7B,EarthVQA,without_cos_sim,leave_one_out,"[""mean_diff"", ""std_diff"", ""l2_distance""]",cos_sim,54,fixed_full_non_all_nan,3260,178,3082,0.867816091954023,0.848314606741573,0.8579545454545454,151,23,27,3059,-2.1597275273745886
Qwen2.5-VL-7B,EarthVQA,without_mean_diff,leave_one_out,"[""cos_sim"", ""std_diff"", ""l2_distance""]",mean_diff,54,fixed_full_non_all_nan,3260,178,3082,0.8971428571428571,0.8820224719101124,0.8895184135977338,157,18,21,3064,0.996659286944246
Qwen2.5-VL-7B,EarthVQA,without_std_diff,leave_one_out,"[""cos_sim"", ""mean_diff"", ""l2_distance""]",std_diff,54,fixed_full_non_all_nan,3260,178,3082,0.8770949720670391,0.8820224719101124,0.8795518207282913,157,22,21,3060,0.0
Qwen2.5-VL-7B,EarthVQA,without_l2_distance,leave_one_out,"[""cos_sim"", ""mean_diff"", ""std_diff""]",l2_distance,54,fixed_full_non_all_nan,3260,178,3082,0.8449197860962567,0.8876404494382022,0.8657534246575342,158,29,20,3053,-1.3798396070757055
Qwen2.5-VL-7B,EarthVQA,only_cos_sim,single_group,"[""cos_sim""]",,18,fixed_full_non_all_nan,3260,178,3082,0.7871287128712872,0.8932584269662921,0.8368421052631579,159,43,19,3039,-4.270971546513335
Qwen2.5-VL-7B,EarthVQA,only_mean_diff,single_group,"[""mean_diff""]",,18,fixed_full_non_all_nan,3260,178,3082,0.9933774834437086,0.8426966292134831,0.9118541033434652,150,1,28,3081,3.230228261517376
Qwen2.5-VL-7B,EarthVQA,only_std_diff,single_group,"[""std_diff""]",,18,fixed_full_non_all_nan,3260,178,3082,0.967948717948718,0.848314606741573,0.9041916167664672,151,5,27,3077,2.4639796038175787
Qwen2.5-VL-7B,EarthVQA,only_l2_distance,single_group,"[""l2_distance""]",,18,fixed_full_non_all_nan,3260,178,3082,0.9440993788819876,0.8539325842696629,0.8967551622418879,152,9,26,3073,1.7203341513596593
Qwen2.5-VL-7B,LingoQA,full,full,"[""cos_sim"", ""mean_diff"", ""std_diff"", ""l2_distance""]",,72,fixed_full_non_all_nan,3318,168,3150,0.9724137931034482,0.8392857142857143,0.9009584664536742,141,4,27,3146,0.0
Qwen2.5-VL-7B,LingoQA,without_cos_sim,leave_one_out,"[""mean_diff"", ""std_diff"", ""l2_distance""]",cos_sim,54,fixed_full_non_all_nan,3318,168,3150,0.9666666666666668,0.8630952380952381,0.9119496855345912,145,5,23,3145,1.0991219080917047
Qwen2.5-VL-7B,LingoQA,without_mean_diff,leave_one_out,"[""cos_sim"", ""std_diff"", ""l2_distance""]",mean_diff,54,fixed_full_non_all_nan,3318,168,3150,0.972972972972973,0.8571428571428571,0.9113924050632912,144,4,24,3146,1.0433938609616944
Qwen2.5-VL-7B,LingoQA,without_std_diff,leave_one_out,"[""cos_sim"", ""mean_diff"", ""l2_distance""]",std_diff,54,fixed_full_non_all_nan,3318,168,3150,0.9722222222222222,0.8333333333333334,0.8974358974358975,140,4,28,3146,-0.35225690177767
Qwen2.5-VL-7B,LingoQA,without_l2_distance,leave_one_out,"[""cos_sim"", ""mean_diff"", ""std_diff""]",l2_distance,54,fixed_full_non_all_nan,3318,168,3150,0.9863013698630136,0.8571428571428571,0.9171974522292994,144,2,24,3148,1.6238985775625214
Qwen2.5-VL-7B,LingoQA,only_cos_sim,single_group,"[""cos_sim""]",,18,fixed_full_non_all_nan,3318,168,3150,0.9407894736842104,0.8511904761904762,0.89375,143,9,25,3141,-0.7208466453674123
Qwen2.5-VL-7B,LingoQA,only_mean_diff,single_group,"[""mean_diff""]",,18,fixed_full_non_all_nan,3318,168,3150,0.9928057553956836,0.8214285714285714,0.8990228013029316,138,1,30,3149,-0.1935665150742616
Qwen2.5-VL-7B,LingoQA,only_std_diff,single_group,"[""std_diff""]",,18,fixed_full_non_all_nan,3318,168,3150,0.986206896551724,0.8511904761904762,0.9137380191693292,143,2,25,3148,1.2779552715654896
Qwen2.5-VL-7B,LingoQA,only_l2_distance,single_group,"[""l2_distance""]",,18,fixed_full_non_all_nan,3318,168,3150,0.9285714285714286,0.8511904761904762,0.8881987577639752,143,11,25,3139,-1.2759708689699
Qwen2.5-VL-7B,VQAv2,full,full,"[""cos_sim"", ""mean_diff"", ""std_diff"", ""l2_distance""]",,72,fixed_full_non_all_nan,2658,204,2454,0.986206896551724,0.7009803921568627,0.8194842406876791,143,2,61,2452,0.0
Qwen2.5-VL-7B,VQAv2,without_cos_sim,leave_one_out,"[""mean_diff"", ""std_diff"", ""l2_distance""]",cos_sim,54,fixed_full_non_all_nan,2658,204,2454,0.993006993006993,0.696078431372549,0.8184438040345822,142,1,62,2453,-0.1040436653096943
Qwen2.5-VL-7B,VQAv2,without_mean_diff,leave_one_out,"[""cos_sim"", ""std_diff"", ""l2_distance""]",mean_diff,54,fixed_full_non_all_nan,2658,204,2454,1.0,0.696078431372549,0.8208092485549133,142,0,62,2454,0.1325007867234218
Qwen2.5-VL-7B,VQAv2,without_std_diff,leave_one_out,"[""cos_sim"", ""mean_diff"", ""l2_distance""]",std_diff,54,fixed_full_non_all_nan,2658,204,2454,1.0,0.7009803921568627,0.8242074927953891,143,0,61,2454,0.4723252107709963
Qwen2.5-VL-7B,VQAv2,without_l2_distance,leave_one_out,"[""cos_sim"", ""mean_diff"", ""std_diff""]",l2_distance,54,fixed_full_non_all_nan,2658,204,2454,0.9929078014184396,0.6862745098039216,0.8115942028985508,140,1,64,2453,-0.7890037789128335
Qwen2.5-VL-7B,VQAv2,only_cos_sim,single_group,"[""cos_sim""]",,18,fixed_full_non_all_nan,2658,204,2454,0.9161290322580644,0.696078431372549,0.7910863509749304,142,13,62,2441,-2.8397889712748703
Qwen2.5-VL-7B,VQAv2,only_mean_diff,single_group,"[""mean_diff""]",,18,fixed_full_non_all_nan,2658,204,2454,0.9210526315789472,0.6862745098039216,0.7865168539325843,140,12,64,2442,-3.2967386755094807
