profile,order,repeat,sample_index,orig_id,answer_sha256,latency_ms,tokens,peak_allocated_mb,peak_reserved_mb,steps_processed,detection_ready_ms,detection_after_prefill_ms,detector_probability,detector_prediction
baseline,forward,0,0,1a938d25604410ccd63b60285919eaec:c627e50da685:0:0,ad7432ad3647d5979a4c8f07ea59db904408a5ca59b44fc807019ff723c8fe9d,537.7365411259234,12,15617.70556640625,15808.0,,,,,
baseline,forward,0,1,1a938d25604410ccd63b60285919eaec:c627e50da685:0:1,ad7432ad3647d5979a4c8f07ea59db904408a5ca59b44fc807019ff723c8fe9d,536.9293140247464,12,15617.70556640625,15808.0,,,,,
baseline,forward,0,2,1a938d25604410ccd63b60285919eaec:c627e50da685:0:2,45b29a4f9a357408272a3d9ee292dd9f825df58412a294bc76edad70933ff8f3,537.8520451486111,12,15617.70556640625,15808.0,,,,,
baseline,forward,0,3,1a938d25604410ccd63b60285919eaec:c627e50da685:0:3,8f13312bc57593ae709f0e55a18489d480c2a86c8038ac06144174a3f51b5600,539.0304608736187,12,15617.70556640625,15808.0,,,,,
baseline,forward,0,4,1a938d25604410ccd63b60285919eaec:c627e50da685:0:4,8f13312bc57593ae709f0e55a18489d480c2a86c8038ac06144174a3f51b5600,545.9774378687143,12,15617.70556640625,15808.0,,,,,
baseline,forward,0,5,49cd6149f02ec01ee03a6eb8287ab2df:f982e9dfaf25:0:0,dfa96710626dd8454b20bab58edadf81faa7374948fab10c0910e55037cea818,684.8347939085215,20,15617.44873046875,15808.0,,,,,
baseline,forward,0,6,49cd6149f02ec01ee03a6eb8287ab2df:f982e9dfaf25:0:1,86024a4fa91c4b919c6bf7d14d030232d1b278e47a39c03efbe698cebb092a16,659.1966080013663,19,15617.44873046875,15808.0,,,,,
baseline,forward,0,7,49cd6149f02ec01ee03a6eb8287ab2df:f982e9dfaf25:0:2,cf7957792cc42aad7f2f87beb1240027c78a84aebb3babafec5afeab6040dc38,641.7393500450999,18,15617.44873046875,15808.0,,,,,
baseline,forward,0,8,49cd6149f02ec01ee03a6eb8287ab2df:f982e9dfaf25:0:3,e62c1d2a0e028a848bf11c6aee602c7b04b7c5d57080024b56092666b47f8121,728.9275529328734,22,15617.44873046875,15808.0,,,,,
baseline,forward,0,9,49cd6149f02ec01ee03a6eb8287ab2df:f982e9dfaf25:0:4,f9472589f3263b5d01f4798bd4b1db08a9f8d5bfd4a7de1f6a20d7afa4d2fc9d,632.2096479125321,17,15617.44873046875,15808.0,,,,,
baseline,forward,0,10,49cd6149f02ec01ee03a6eb8287ab2df:81739d7eb99c:0:0,dfa96710626dd8454b20bab58edadf81faa7374948fab10c0910e55037cea818,687.1641499456018,20,15617.44873046875,15808.0,,,,,
baseline,forward,0,11,49cd6149f02ec01ee03a6eb8287ab2df:81739d7eb99c:0:1,86024a4fa91c4b919c6bf7d14d030232d1b278e47a39c03efbe698cebb092a16,676.9077850040048,19,15617.44873046875,15808.0,,,,,
