model,mode_name,observations,latency_mean_ms,latency_p50_ms,latency_p95_ms,latency_overhead_percent,overhead_ci95_low_percent,overhead_ci95_high_percent,tokens_per_second,throughput_change_percent,extra_peak_allocated_mb,answer_match_rate
Qwen2.5-VL-7B,Vanilla,200,538.041944965953,537.9668379900977,626.8165412708186,0.0,,,28.185534867471407,0.0,0.0,1.0
Qwen2.5-VL-7B,Step-hook,200,538.9817231806228,535.5247120023705,627.763948100619,0.17466634775644696,-0.1614529658973718,0.5075998166934775,28.080729548092634,-0.3718408037015064,0.0,0.95
Qwen2.5-VL-7B,Monitor + Projection,200,540.7365050399676,547.8767770109698,631.8270369316448,0.500808552051657,0.03825454975796672,1.0211332848049852,28.06357599045096,-0.4327002400128177,0.8759765625,0.95
Qwen2.5-VL-7B,Predictor + Aggregation,200,542.9608010186348,533.8553534820676,632.0822322100867,0.9142142352847715,0.6601478179552123,1.155191150259564,27.920984298606296,-0.9386040396573314,1.1796875,0.975
Qwen2.5-VL-7B,Full SIEVE,200,544.060181666282,534.352722519543,632.431107677985,1.118544150068046,0.8059986273476633,1.422942219853333,27.928895574497997,-0.9105354721140824,1.1796875,0.96
InternVL3-8B,Vanilla,200,671.7548899701796,646.2867605150677,904.7159127774648,0.0,,,29.89185534755301,0.0,0.0,1.0
InternVL3-8B,Step-hook,200,670.6375464284793,648.9564674557187,892.9265485960059,-0.16633202949218884,-0.36785957171644457,0.046992163463420646,29.94165791482635,0.1666091538791603,0.0,1.0
InternVL3-8B,Monitor + Projection,200,668.6141959473025,646.6746419901028,895.0288687890861,-0.46753571425681706,-0.6312251033162338,-0.3091004176203208,30.032266921210606,0.46973187855028353,0.8759765625,1.0
InternVL3-8B,Predictor + Aggregation,200,671.3286525075091,647.235662501771,896.9778566854073,-0.06345133753912213,-0.22204479430495944,0.08488409734503484,29.910834171904195,0.0634916238236638,1.1796875,1.0
InternVL3-8B,Full SIEVE,200,676.6580433148192,648.7221409915946,910.3440157894507,0.7299021440480002,0.356634900367484,1.3102858802927864,29.67525502487474,-0.7246131769335085,1.1796875,1.0
LLaVA-1.5-7B,Vanilla,200,252.503904014593,203.75427248654887,394.7711766406428,0.0,,,20.356120908542245,0.0,0.0,1.0
LLaVA-1.5-7B,Step-hook,200,252.34367796278093,204.0282214875333,393.49909065640526,-0.06345488099970265,-0.2434780491219965,0.11563553840170099,20.369046062481967,0.06349517178538822,0.0,1.0
LLaVA-1.5-7B,Monitor + Projection,200,253.90556575905066,205.99305897485465,396.3491000235081,0.5551049794369378,0.3697832132708778,0.7279419061602205,20.2437468616884,-0.5520405747181822,1.130859375,1.0
LLaVA-1.5-7B,Predictor + Aggregation,200,255.2306984475581,206.43463608575985,399.4248944276478,1.0799018904703805,0.8508209205646189,1.3203778773824804,20.138643318629278,-1.0683646009476466,145.67578125,1.0
LLaVA-1.5-7B,Full SIEVE,200,255.87616579199675,207.29305653367192,399.43415294983424,1.335528569573663,1.1119070243992375,1.5793999490232673,20.087842039099243,-1.317927274299202,145.67578125,1.0
