model,mode_name,observations,latency_mean_ms,latency_p50_ms,latency_p95_ms,latency_overhead_percent,overhead_ci95_low_percent,overhead_ci95_high_percent,tokens_per_second,throughput_change_percent,extra_peak_allocated_mb,answer_match_rate
Qwen2.5-VL-7B,Vanilla,200,532.7507610083558,531.8620016332716,626.2098137522116,0.0,,,28.465468489048575,0.0,0.0,1.0
Qwen2.5-VL-7B,Step-hook,200,533.7676512799226,531.9992350414395,625.9236526908353,0.19087542355493703,-0.1482364187603777,0.5878041675276813,28.383136302231474,-0.28923531277476044,0.0,0.955
Qwen2.5-VL-7B,Monitor + Projection,200,534.7801880154293,529.0918600512668,626.3319441466592,0.3809336664732932,0.132897942780123,0.6541071898445338,28.450941790612898,-0.051032704560149966,0.8759765625,0.96
Qwen2.5-VL-7B,Predictor + Aggregation,200,537.4292981566396,531.1368721304461,629.1825693100691,0.8781849770479022,0.555155473959546,1.2519128282511558,28.124629698908915,-1.197376358905844,1.1796875,0.955
Qwen2.5-VL-7B,Full SIEVE,200,543.686245251447,540.1512304088101,644.1097449627704,2.0526454476373246,1.7144722556280156,2.3950432198891547,27.97569394635981,-1.7205918914603213,1.1796875,0.95
InternVL3-8B,Vanilla,200,665.7712783967145,646.2154925102368,884.6895296708681,0.0,,,30.16050804768254,0.0,0.0,1.0
InternVL3-8B,Step-hook,200,666.9919961271808,646.9802435021847,888.9678333653137,0.18335391899242381,-0.006728747218660564,0.33586810740328704,30.105308784201938,-0.18301834767947556,0.0,1.0
InternVL3-8B,Monitor + Projection,200,668.7980556942057,648.7857350148261,888.8982414617203,0.454627196411983,0.25763582925724504,0.625911226323903,30.024010729452797,-0.4525696915116506,0.8759765625,1.0
InternVL3-8B,Predictor + Aggregation,200,669.540095863631,646.5644504642114,896.0191438323818,0.5660829160417435,0.35566857286712494,0.7564562394604485,29.990735616959686,-0.5628964553728744,1.1796875,1.0
InternVL3-8B,Full SIEVE,200,685.2396973606665,656.4139105612412,915.2600002242252,2.924190273097249,2.6084624162312338,3.2712138055918447,29.303614599886743,-2.841110787792711,1.1796875,1.0
LLaVA-1.5-7B,Vanilla,200,249.62753089726903,201.6564083751291,388.0109121557325,0.0,,,20.59067756478872,0.0,0.0,1.0
LLaVA-1.5-7B,Step-hook,200,249.01790021918714,200.56495745666325,388.0999731249176,-0.24421612307369278,-0.7622586795613042,0.2074629428864105,20.64108642581814,0.24481399832914086,0.0,1.0
LLaVA-1.5-7B,Monitor + Projection,200,250.83088814513758,202.709466451779,390.29287577141076,0.4820611106247652,-0.059263439486755554,1.0289927472269245,20.49189411244223,-0.4797484300148369,1.130859375,1.0
LLaVA-1.5-7B,Predictor + Aggregation,200,252.9647410986945,205.37617895752192,391.4834989467636,1.3368758603788944,0.7433131429909223,1.8967187949179942,20.31903726059049,-1.3192392690503318,145.67578125,1.0
LLaVA-1.5-7B,Full SIEVE,200,255.93734395457432,205.929301911965,392.7881156210787,2.5276911703709493,1.9633738418310176,3.044298206495523,20.08304032768382,-2.465374126264752,145.67578125,1.0
