mode,repeat,sample_index,orig_id,answer_sha256,answer_matches_vanilla,latency_ms,tokens,peak_allocated_mb,peak_reserved_mb,steps_processed,detection_ready_ms,detection_after_prefill_ms,detector_probability,detector_prediction
sieve,0,0,1a938d25604410ccd63b60285919eaec:c627e50da685:0:0,ad7432ad3647d5979a4c8f07ea59db904408a5ca59b44fc807019ff723c8fe9d,True,557.8396630007774,12,15618.58154296875,15810.0,2,380.78996702097356,45.177107909694314,0.011923828162252903,0
sieve,0,1,1a938d25604410ccd63b60285919eaec:c627e50da685:0:1,ad7432ad3647d5979a4c8f07ea59db904408a5ca59b44fc807019ff723c8fe9d,True,547.0511610619724,12,15618.58154296875,15810.0,2,370.70081708952785,44.5297381374985,0.013695897534489632,0
sieve,0,2,1a938d25604410ccd63b60285919eaec:c627e50da685:0:2,45b29a4f9a357408272a3d9ee292dd9f825df58412a294bc76edad70933ff8f3,True,563.2696028333157,12,15618.58154296875,15810.0,2,391.5439888369292,43.807461857795715,0.013688511215150356,0
sieve,0,3,1a938d25604410ccd63b60285919eaec:c627e50da685:0:3,8f13312bc57593ae709f0e55a18489d480c2a86c8038ac06144174a3f51b5600,True,535.8169779647142,12,15618.58154296875,15810.0,2,364.934858167544,43.72464818879962,0.012492770329117775,0
sieve,0,4,1a938d25604410ccd63b60285919eaec:c627e50da685:0:4,8f13312bc57593ae709f0e55a18489d480c2a86c8038ac06144174a3f51b5600,True,549.5677390135825,12,15618.58154296875,15810.0,2,378.2054209150374,44.00786594487727,0.01208481751382351,0
sieve,0,5,49cd6149f02ec01ee03a6eb8287ab2df:f982e9dfaf25:0:0,dfa96710626dd8454b20bab58edadf81faa7374948fab10c0910e55037cea818,True,675.5801979452372,20,15618.32470703125,15810.0,2,368.93452191725373,43.62616688013077,0.04598546028137207,0
sieve,0,6,49cd6149f02ec01ee03a6eb8287ab2df:f982e9dfaf25:0:1,86024a4fa91c4b919c6bf7d14d030232d1b278e47a39c03efbe698cebb092a16,True,655.7692419737577,19,15618.32470703125,15810.0,2,365.5699919909239,43.54934487491846,0.047764893621206284,0
sieve,0,7,49cd6149f02ec01ee03a6eb8287ab2df:f982e9dfaf25:0:2,cf7957792cc42aad7f2f87beb1240027c78a84aebb3babafec5afeab6040dc38,True,655.3547610528767,18,15618.32470703125,15810.0,2,382.22622498869896,43.80203480832279,0.047251708805561066,0
sieve,0,8,49cd6149f02ec01ee03a6eb8287ab2df:f982e9dfaf25:0:3,e62c1d2a0e028a848bf11c6aee602c7b04b7c5d57080024b56092666b47f8121,True,729.1906659957021,22,15618.32470703125,15810.0,2,387.4552738852799,43.93727006390691,0.09023633599281311,0
sieve,0,9,49cd6149f02ec01ee03a6eb8287ab2df:f982e9dfaf25:0:4,f9472589f3263b5d01f4798bd4b1db08a9f8d5bfd4a7de1f6a20d7afa4d2fc9d,True,655.1749159116298,17,15618.32470703125,15810.0,2,392.11562485434115,44.001638889312744,0.050221387296915054,0
sieve,0,10,49cd6149f02ec01ee03a6eb8287ab2df:81739d7eb99c:0:0,dfa96710626dd8454b20bab58edadf81faa7374948fab10c0910e55037cea818,True,698.229355039075,20,15618.32470703125,15810.0,2,380.7199609000236,45.047729974612594,0.04598546028137207,0
sieve,0,11,49cd6149f02ec01ee03a6eb8287ab2df:81739d7eb99c:0:1,86024a4fa91c4b919c6bf7d14d030232d1b278e47a39c03efbe698cebb092a16,True,676.1477298568934,19,15618.32470703125,15810.0,2,375.15906407497823,44.78582902811468,0.047764893621206284,0
sieve,0,12,49cd6149f02ec01ee03a6eb8287ab2df:81739d7eb99c:0:2,cf7957792cc42aad7f2f87beb1240027c78a84aebb3babafec5afeab6040dc38,True,650.2788080833852,18,15618.32470703125,15810.0,2,371.20653316378593,45.17773608677089,0.047251708805561066,0
sieve,0,13,49cd6149f02ec01ee03a6eb8287ab2df:81739d7eb99c:0:3,e62c1d2a0e028a848bf11c6aee602c7b04b7c5d57080024b56092666b47f8121,True,728.972096927464,22,15618.32470703125,15810.0,2,375.1959048677236,45.2118709217757,0.09023633599281311,0
sieve,0,14,49cd6149f02ec01ee03a6eb8287ab2df:81739d7eb99c:0:4,f9472589f3263b5d01f4798bd4b1db08a9f8d5bfd4a7de1f6a20d7afa4d2fc9d,True,646.8059809412807,17,15618.32470703125,15810.0,2,380.3029269911349,44.868869008496404,0.050221387296915054,0
sieve,0,15,c6050fe51d3408b1eaef27e08e7f1956:1458b54ae2f6:0:0,0c2763434c50e20730f49847263ef9024806cb1a0560c523ed77737027dc7584,True,649.6448579709977,17,15618.72802734375,15810.0,2,384.1469129547477,44.845842057839036,0.026362335309386253,0
sieve,0,16,c6050fe51d3408b1eaef27e08e7f1956:1458b54ae2f6:0:1,664067171cd1bbc5ce837d235ed3ea23011690faf92d70710e11636621c1b115,True,863.242554012686,30,15618.72802734375,15810.0,2,374.62593894451857,44.03900005854666,0.025893716141581535,0
sieve,0,17,c6050fe51d3408b1eaef27e08e7f1956:1458b54ae2f6:0:2,c6b78a53ab1e086ea1b1d04c24bdf6d361a4c414a514fa6f179a43df6e2fb518,True,915.1789639145136,33,15618.72802734375,15810.0,2,372.0285869203508,45.51482782699168,0.026893166825175285,0
sieve,0,18,c6050fe51d3408b1eaef27e08e7f1956:1458b54ae2f6:0:3,76081f5fd3a7d2fecc5219b9f1a003927ab2f0a03cbcea2809aa13575b12704d,True,554.651693906635,12,15618.72802734375,15810.0,2,376.199449878186,45.230421936139464,0.03979818522930145,0
sieve,0,19,c6050fe51d3408b1eaef27e08e7f1956:1458b54ae2f6:0:4,ad3a25be620e9e8363cf8b064f96e3948b2c3e9ae99d2778aa19fe9e3c58386a,True,971.0970961023122,36,15618.72802734375,15810.0,2,379.88861300982535,45.141404028981924,0.038352321833372116,0
sieve,0,20,c6050fe51d3408b1eaef27e08e7f1956:e4e99a4d6532:0:0,0c2763434c50e20730f49847263ef9024806cb1a0560c523ed77737027dc7584,True,632.1862160693854,17,15618.72802734375,15810.0,2,365.96767301671207,45.549673959612846,0.026362335309386253,0
sieve,0,21,c6050fe51d3408b1eaef27e08e7f1956:e4e99a4d6532:0:1,664067171cd1bbc5ce837d235ed3ea23011690faf92d70710e11636621c1b115,True,869.3403259385377,30,15618.72802734375,15810.0,2,382.6904599554837,44.73649710416794,0.025893716141581535,0
sieve,0,22,c6050fe51d3408b1eaef27e08e7f1956:e4e99a4d6532:0:2,c6b78a53ab1e086ea1b1d04c24bdf6d361a4c414a514fa6f179a43df6e2fb518,True,916.7996901087463,33,15618.72802734375,15810.0,2,374.46973705664277,45.02096911892295,0.026893166825175285,0
sieve,0,23,c6050fe51d3408b1eaef27e08e7f1956:e4e99a4d6532:0:3,76081f5fd3a7d2fecc5219b9f1a003927ab2f0a03cbcea2809aa13575b12704d,True,551.8369579222053,12,15618.72802734375,15810.0,2,374.5962819084525,45.34069704823196,0.03979818522930145,0
