mode,repeat,sample_index,orig_id,answer_sha256,answer_matches_vanilla,latency_ms,tokens,peak_allocated_mb,peak_reserved_mb,steps_processed,detection_ready_ms,detection_after_prefill_ms,detector_probability,detector_prediction
sieve,0,0,1a938d25604410ccd63b60285919eaec:c627e50da685:0:0,70f89282fb4200d4c7cb83660e5e90d9cf2d989cdecf70c1f868239e5f542294,True,287.7803259762004,7,15021.759765625,15234.0,2,218.64134399220347,102.16421890072525,0.001296577276661992,0
sieve,0,1,1a938d25604410ccd63b60285919eaec:c627e50da685:0:1,c709293d644a54f3b0d6270fc879317ff277c06c090c03c30f721b08140bbe7b,True,400.6216899724677,15,15021.759765625,15234.0,2,221.94121894426644,102.4318439885974,0.0008500770782120526,0
sieve,0,2,1a938d25604410ccd63b60285919eaec:c627e50da685:0:2,c709293d644a54f3b0d6270fc879317ff277c06c090c03c30f721b08140bbe7b,True,399.3716510012746,15,15021.759765625,15234.0,2,220.07706703152508,102.84254897851497,0.0007360265008173883,0
sieve,0,3,1a938d25604410ccd63b60285919eaec:c627e50da685:0:3,c709293d644a54f3b0d6270fc879317ff277c06c090c03c30f721b08140bbe7b,True,399.25643196329474,15,15021.759765625,15234.0,2,220.1377380406484,102.59274102281779,0.0008054252248257399,0
sieve,0,4,1a938d25604410ccd63b60285919eaec:c627e50da685:0:4,15905afe25f3666163b46d6b6948b985a7debd874743ae398a264536e830ec1f,True,289.63328106328845,7,15021.759765625,15234.0,2,220.29172803740948,102.33800706919283,0.001649687997996807,0
sieve,0,5,49cd6149f02ec01ee03a6eb8287ab2df:f982e9dfaf25:0:0,5feceb66ffc86f38d952786c6d696c79c2dbc239dd4e91b46729d73a27fb57e9,True,204.99718200881034,2,15017.73974609375,15234.0,2,204.215049976483,92.55099599249661,0.0009303856641054153,0
sieve,0,6,49cd6149f02ec01ee03a6eb8287ab2df:f982e9dfaf25:0:1,5feceb66ffc86f38d952786c6d696c79c2dbc239dd4e91b46729d73a27fb57e9,True,207.4878109851852,2,15017.73974609375,15234.0,2,206.72143099363893,91.98049898259342,0.0008635543053969741,0
sieve,0,7,49cd6149f02ec01ee03a6eb8287ab2df:f982e9dfaf25:0:2,5feceb66ffc86f38d952786c6d696c79c2dbc239dd4e91b46729d73a27fb57e9,True,206.85884705744684,2,15017.73974609375,15234.0,2,206.10500103794038,91.80039493367076,0.0008286391966976225,0
sieve,0,8,49cd6149f02ec01ee03a6eb8287ab2df:f982e9dfaf25:0:3,5feceb66ffc86f38d952786c6d696c79c2dbc239dd4e91b46729d73a27fb57e9,True,206.28589706029743,2,15017.73974609375,15234.0,2,205.50598204135895,92.05154201481491,0.0008765733218751848,0
sieve,0,9,49cd6149f02ec01ee03a6eb8287ab2df:f982e9dfaf25:0:4,5feceb66ffc86f38d952786c6d696c79c2dbc239dd4e91b46729d73a27fb57e9,True,207.55621301941574,2,15017.73974609375,15234.0,2,206.79883402772248,92.11346600204706,0.0011846692068502307,0
