job,model,dataset,method,cohort,sdc_recall,significant_sdc_recall,non_sdc_fpr,significant_sdc_precision,significant_sdc_f1,samples
qwen25_vl_earthvqa,qwen25_vl,earthvqa,Ranger-style,full,0.21921182266009853,0.7935779816513762,0.005917159763313609,0.9558011049723757,0.8671679197994987,1319
qwen25_vl_earthvqa,qwen25_vl,earthvqa,Ranger-style,finite_only,0.05794947994056464,0.43037974683544306,0.005917159763313609,0.8095238095238095,0.5619834710743802,1180
qwen25_vl_earthvqa,qwen25_vl,earthvqa,Dr.DNA-style,full,0.20320197044334976,0.7155963302752294,0.015779092702169626,0.9017341040462428,0.7979539641943736,1319
qwen25_vl_earthvqa,qwen25_vl,earthvqa,Dr.DNA-style,finite_only,0.03863298662704309,0.21518987341772153,0.015779092702169626,0.5,0.3008849557522124,1180
qwen25_vl_earthvqa,qwen25_vl,earthvqa,SIEVE,full,0.24876847290640394,0.9220183486238532,0.0039447731755424065,0.9852941176470589,0.95260663507109,1319
qwen25_vl_earthvqa,qwen25_vl,earthvqa,SIEVE,finite_only,0.09361069836552749,0.7848101265822784,0.0039447731755424065,0.9538461538461539,0.8611111111111112,1180
qwen25_vl_lingoqa,qwen25_vl,lingoqa,Ranger-style,full,0.20398593200468934,0.726457399103139,0.015254237288135594,0.8852459016393442,0.7980295566502462,1443
qwen25_vl_lingoqa,qwen25_vl,lingoqa,Ranger-style,finite_only,0.0673076923076923,0.3838383838383838,0.015254237288135594,0.6551724137931034,0.4840764331210191,1318
qwen25_vl_lingoqa,qwen25_vl,lingoqa,Dr.DNA-style,full,0.17819460726846426,0.6322869955156951,0.013559322033898305,0.88125,0.7362924281984334,1443
qwen25_vl_lingoqa,qwen25_vl,lingoqa,Dr.DNA-style,finite_only,0.03708791208791209,0.1717171717171717,0.013559322033898305,0.4857142857142857,0.25373134328358204,1318
qwen25_vl_lingoqa,qwen25_vl,lingoqa,SIEVE,full,0.2532239155920281,0.9327354260089686,0.010169491525423728,0.9369369369369369,0.9348314606741573,1443
qwen25_vl_lingoqa,qwen25_vl,lingoqa,SIEVE,finite_only,0.125,0.8484848484848485,0.010169491525423728,0.865979381443299,0.8571428571428571,1318
qwen25_vl_vqav2,qwen25_vl,vqav2,Ranger-style,full,0.20625724217844726,0.6653696498054474,0.003389830508474576,0.95,0.7826086956521738,1453
qwen25_vl_vqav2,qwen25_vl,vqav2,Ranger-style,finite_only,0.05255878284923928,0.26495726495726496,0.003389830508474576,0.775,0.39490445859872614,1313
qwen25_vl_vqav2,qwen25_vl,vqav2,Dr.DNA-style,full,0.1645422943221321,0.5525291828793775,0.0,1.0,0.711779448621554,1453
qwen25_vl_vqav2,qwen25_vl,vqav2,Dr.DNA-style,finite_only,0.0027662517289073307,0.017094017094017096,0.0,1.0,0.033613445378151266,1313
qwen25_vl_vqav2,qwen25_vl,vqav2,SIEVE,full,0.24797219003476245,0.8171206225680934,0.0,0.9813084112149533,0.89171974522293,1453
qwen25_vl_vqav2,qwen25_vl,vqav2,SIEVE,finite_only,0.10235131396957123,0.5982905982905983,0.0,0.9459459459459459,0.7329842931937173,1313
internvl3_earthvqa,internvl3,earthvqa,Ranger-style,full,0.3284552845528455,0.8816964285714286,0.007259528130671506,0.9681372549019608,0.9228971962616823,1781
internvl3_earthvqa,internvl3,earthvqa,Ranger-style,finite_only,0.09030837004405286,0.5826771653543307,0.007259528130671506,0.8604651162790697,0.6948356807511735,1459
internvl3_earthvqa,internvl3,earthvqa,Dr.DNA-style,full,0.3252032520325203,0.8683035714285714,0.018148820326678767,0.948780487804878,0.9067599067599067,1781
internvl3_earthvqa,internvl3,earthvqa,Dr.DNA-style,finite_only,0.08590308370044053,0.5354330708661418,0.018148820326678767,0.7727272727272727,0.6325581395348837,1459
internvl3_earthvqa,internvl3,earthvqa,SIEVE,full,0.375609756097561,0.9754464285714286,0.016333938294010888,0.9278131634819533,0.9510337323177367,1781
internvl3_earthvqa,internvl3,earthvqa,SIEVE,finite_only,0.15418502202643172,0.9133858267716536,0.016333938294010888,0.7785234899328859,0.8405797101449276,1459
internvl3_lingoqa,internvl3,lingoqa,Ranger-style,full,0.3464373464373464,0.816,0.007079646017699115,0.955503512880562,0.8802588996763753,1786
