model,dataset,src_layer,tgt_layer,sdc_group,mean_cos_sim,sample_count,finite_step_count
Qwen2.5-VL-7B,EarthVQA,0,1,non_sdc,0.8115209923270518,3612,70533
Qwen2.5-VL-7B,EarthVQA,0,1,non_significant_sdc,0.8092783569542068,11980,248411
Qwen2.5-VL-7B,EarthVQA,0,1,significant_sdc,0.3761717089825987,1277,56906
Qwen2.5-VL-7B,EarthVQA,1,2,non_sdc,0.8050195473749977,3612,70533
Qwen2.5-VL-7B,EarthVQA,1,2,non_significant_sdc,0.7936606141819842,11980,248411
Qwen2.5-VL-7B,EarthVQA,1,2,significant_sdc,0.05698727321252032,1263,56166
Qwen2.5-VL-7B,EarthVQA,2,3,non_sdc,0.7386583408907833,3612,70533
Qwen2.5-VL-7B,EarthVQA,2,3,non_significant_sdc,0.7258241266989933,11980,248411
Qwen2.5-VL-7B,EarthVQA,2,3,significant_sdc,0.1765931034756271,1250,55526
Qwen2.5-VL-7B,EarthVQA,3,4,non_sdc,0.8169942340286046,3612,70533
Qwen2.5-VL-7B,EarthVQA,3,4,non_significant_sdc,0.8090072280836217,11980,248411
Qwen2.5-VL-7B,EarthVQA,3,4,significant_sdc,0.4704177572587939,1225,54357
Qwen2.5-VL-7B,EarthVQA,4,5,non_sdc,0.783435798769042,3612,70533
Qwen2.5-VL-7B,EarthVQA,4,5,non_significant_sdc,0.775907126880067,11980,248411
Qwen2.5-VL-7B,EarthVQA,4,5,significant_sdc,0.31150814421044803,1212,53718
Qwen2.5-VL-7B,EarthVQA,5,6,non_sdc,0.8213800575938122,3612,70533
Qwen2.5-VL-7B,EarthVQA,5,6,non_significant_sdc,0.8145018856452848,11980,248411
Qwen2.5-VL-7B,EarthVQA,5,6,significant_sdc,0.14241901806791843,1191,52678
Qwen2.5-VL-7B,EarthVQA,6,7,non_sdc,0.7117191807623212,3612,70533
Qwen2.5-VL-7B,EarthVQA,6,7,non_significant_sdc,0.6958155475434599,11980,248411
Qwen2.5-VL-7B,EarthVQA,6,7,significant_sdc,0.3037633924766058,1180,52090
Qwen2.5-VL-7B,EarthVQA,7,8,non_sdc,0.7858480069072165,3612,70533
Qwen2.5-VL-7B,EarthVQA,7,8,non_significant_sdc,0.7747838000268773,11980,248411
Qwen2.5-VL-7B,EarthVQA,7,8,significant_sdc,0.12030651597430705,1152,50764
Qwen2.5-VL-7B,EarthVQA,8,9,non_sdc,0.8565416435334162,3612,70533
