model,dataset,src_layer,tgt_layer,sdc_group,mean_cos_sim,sample_count,finite_step_count
Qwen2.5-VL-7B,EarthVQA,0,1,non_sdc,0.8115209923270518,3612,70533
Qwen2.5-VL-7B,EarthVQA,0,1,non_significant_sdc,0.8092783569542068,11980,248411
Qwen2.5-VL-7B,EarthVQA,1,2,non_sdc,0.8050195473749977,3612,70533
Qwen2.5-VL-7B,EarthVQA,1,2,non_significant_sdc,0.7936606141819842,11980,248411
Qwen2.5-VL-7B,EarthVQA,2,3,non_sdc,0.7386583408907833,3612,70533
Qwen2.5-VL-7B,EarthVQA,2,3,non_significant_sdc,0.7258241266989933,11980,248411
Qwen2.5-VL-7B,EarthVQA,3,4,non_sdc,0.8169942340286046,3612,70533
Qwen2.5-VL-7B,EarthVQA,3,4,non_significant_sdc,0.8090072280836217,11980,248411
Qwen2.5-VL-7B,EarthVQA,4,5,non_sdc,0.783435798769042,3612,70533
Qwen2.5-VL-7B,EarthVQA,4,5,non_significant_sdc,0.775907126880067,11980,248411
Qwen2.5-VL-7B,EarthVQA,5,6,non_sdc,0.8213800575938122,3612,70533
Qwen2.5-VL-7B,EarthVQA,5,6,non_significant_sdc,0.8145018856452848,11980,248411
Qwen2.5-VL-7B,EarthVQA,6,7,non_sdc,0.7117191807623212,3612,70533
Qwen2.5-VL-7B,EarthVQA,6,7,non_significant_sdc,0.6958155475434599,11980,248411
Qwen2.5-VL-7B,EarthVQA,7,8,non_sdc,0.7858480069072165,3612,70533
Qwen2.5-VL-7B,EarthVQA,7,8,non_significant_sdc,0.7747838000268773,11980,248411
Qwen2.5-VL-7B,EarthVQA,8,9,non_sdc,0.8565416435334162,3612,70533
Qwen2.5-VL-7B,EarthVQA,8,9,non_significant_sdc,0.8526715433817779,11980,248411
Qwen2.5-VL-7B,EarthVQA,9,10,non_sdc,0.8364756762011187,3612,70533
Qwen2.5-VL-7B,EarthVQA,9,10,non_significant_sdc,0.8306940091263945,11980,248411
Qwen2.5-VL-7B,EarthVQA,10,11,non_sdc,0.8074816683762398,3612,70533
Qwen2.5-VL-7B,EarthVQA,10,11,non_significant_sdc,0.7988170487990537,11980,248411
Qwen2.5-VL-7B,EarthVQA,11,12,non_sdc,0.850157937235785,3612,70533
Qwen2.5-VL-7B,EarthVQA,11,12,non_significant_sdc,0.8455140220021724,11980,248411
Qwen2.5-VL-7B,EarthVQA,12,13,non_sdc,0.8487826811146468,3612,70533
