model,dataset,threshold,non_finite_policy,small_non_significant,small_significant,large_non_significant,large_significant,total,non_finite,skipped
Qwen2.5-VL-7B,EarthVQA,1.0,exclude,11039,123,4659,826,16647,677,0
Qwen2.5-VL-7B,EarthVQA,1.0,count_as_large,11039,123,4664,1498,17324,677,0
Qwen2.5-VL-7B,LingoQA,1.0,exclude,11704,120,4812,805,17441,672,0
Qwen2.5-VL-7B,LingoQA,1.0,count_as_large,11704,120,4817,1472,18113,672,0
Qwen2.5-VL-7B,LingoQA,5.0,exclude,13992,141,2524,784,17441,672,0
Qwen2.5-VL-7B,LingoQA,5.0,count_as_large,13992,141,2529,1451,18113,672,0
Qwen2.5-VL-7B,LingoQA,10.0,exclude,14094,143,2422,782,17441,672,0
Qwen2.5-VL-7B,LingoQA,10.0,count_as_large,14094,143,2427,1449,18113,672,0
Qwen2.5-VL-7B,VQAv2,1.0,exclude,8058,220,3339,825,12442,661,0
Qwen2.5-VL-7B,VQAv2,1.0,count_as_large,8058,220,3343,1482,13103,661,0
InternVL3-8B,EarthVQA,1.0,exclude,10743,63,4013,2350,17169,639,0
InternVL3-8B,EarthVQA,1.0,count_as_large,10743,63,4019,2983,17808,639,0
InternVL3-8B,LingoQA,1.0,exclude,11832,150,4475,2423,18880,643,0
InternVL3-8B,LingoQA,1.0,count_as_large,11832,150,4478,3063,19523,643,0
InternVL3-8B,VQAv2,1.0,exclude,8977,146,3307,2451,14881,635,0
InternVL3-8B,VQAv2,1.0,count_as_large,8977,146,3314,3079,15516,635,0
LLaVA-1.5-7B,EarthVQA,1.0,exclude,4176,23,1164,688,6051,459,0
LLaVA-1.5-7B,EarthVQA,1.0,count_as_large,4176,23,1164,1147,6510,459,0
LLaVA-1.5-7B,LingoQA,1.0,exclude,4266,44,1262,690,6262,468,0
LLaVA-1.5-7B,LingoQA,1.0,count_as_large,4266,44,1284,1136,6730,468,0
LLaVA-1.5-7B,VQAv2,1.0,exclude,4039,47,958,614,5658,450,0
LLaVA-1.5-7B,VQAv2,1.0,count_as_large,4039,47,986,1036,6108,450,0
