model,dataset,src_layer,tgt_layer,sdc_group,mean_cos_sim,sample_count,finite_step_count
Qwen2.5-VL-7B,LingoQA,0,1,clean,0.7735892891075778,7958,126662
Qwen2.5-VL-7B,LingoQA,0,1,sdc,0.7117985277453769,9765,208850
Qwen2.5-VL-7B,LingoQA,0,1,significant_sdc,0.3939659215232468,1239,53927
Qwen2.5-VL-7B,LingoQA,1,2,clean,0.7480014804614892,7958,126662
Qwen2.5-VL-7B,LingoQA,1,2,sdc,0.6636976264918585,9745,207893
Qwen2.5-VL-7B,LingoQA,1,2,significant_sdc,0.1962232238130071,1219,52970
Qwen2.5-VL-7B,LingoQA,2,3,clean,0.6754958139830578,7958,126662
Qwen2.5-VL-7B,LingoQA,2,3,sdc,0.6055704879075308,9731,207122
Qwen2.5-VL-7B,LingoQA,2,3,significant_sdc,0.3398007515706964,1205,52199
Qwen2.5-VL-7B,LingoQA,3,4,clean,0.7617272938520252,7958,126662
Qwen2.5-VL-7B,LingoQA,3,4,sdc,0.70861771829213,9709,206033
Qwen2.5-VL-7B,LingoQA,3,4,significant_sdc,0.4383415349352823,1183,51110
Qwen2.5-VL-7B,LingoQA,4,5,clean,0.728228546963067,7958,126662
Qwen2.5-VL-7B,LingoQA,4,5,sdc,0.6572167724018025,9690,205198
Qwen2.5-VL-7B,LingoQA,4,5,significant_sdc,0.3143856954408059,1164,50275
Qwen2.5-VL-7B,LingoQA,5,6,clean,0.783971515864313,7958,126662
Qwen2.5-VL-7B,LingoQA,5,6,sdc,0.710576231875283,9674,204414
Qwen2.5-VL-7B,LingoQA,5,6,significant_sdc,0.2684661176015048,1148,49491
Qwen2.5-VL-7B,LingoQA,6,7,clean,0.6277355211010327,7958,126662
Qwen2.5-VL-7B,LingoQA,6,7,sdc,0.5670441695200191,9657,203490
Qwen2.5-VL-7B,LingoQA,6,7,significant_sdc,0.3299708250602844,1131,48567
Qwen2.5-VL-7B,LingoQA,7,8,clean,0.6375380876263663,7958,126662
Qwen2.5-VL-7B,LingoQA,7,8,sdc,0.5581452690025748,9629,202114
Qwen2.5-VL-7B,LingoQA,7,8,significant_sdc,0.1781550504783601,1103,47191
Qwen2.5-VL-7B,LingoQA,8,9,clean,0.7728409411339867,7958,126662
Qwen2.5-VL-7B,LingoQA,8,9,sdc,0.7093532102331168,9599,200616
Qwen2.5-VL-7B,LingoQA,8,9,significant_sdc,0.2773139239479975,1073,45693
Qwen2.5-VL-7B,LingoQA,9,10,clean,0.7473351348537911,7958,126662
Qwen2.5-VL-7B,LingoQA,9,10,sdc,0.6780634516663995,9582,199906
Qwen2.5-VL-7B,LingoQA,9,10,significant_sdc,0.22814199905552696,1056,44983
Qwen2.5-VL-7B,LingoQA,10,11,clean,0.6967271154599376,7958,126662
Qwen2.5-VL-7B,LingoQA,10,11,sdc,0.6241901129392625,9568,199138
Qwen2.5-VL-7B,LingoQA,10,11,significant_sdc,0.17195458104331704,1042,44215
Qwen2.5-VL-7B,LingoQA,11,12,clean,0.7641736203639902,7958,126662
Qwen2.5-VL-7B,LingoQA,11,12,sdc,0.6893638057143171,9543,197791
Qwen2.5-VL-7B,LingoQA,11,12,significant_sdc,0.23441990810451022,1017,42880
Qwen2.5-VL-7B,LingoQA,12,13,clean,0.7878067843611972,7958,126662
Qwen2.5-VL-7B,LingoQA,12,13,sdc,0.7257960630427259,9506,196117
Qwen2.5-VL-7B,LingoQA,12,13,significant_sdc,0.3435074169153287,980,41232
Qwen2.5-VL-7B,LingoQA,13,14,clean,0.7795404733650378,7958,126662
Qwen2.5-VL-7B,LingoQA,13,14,sdc,0.7120760594853519,9491,195393
Qwen2.5-VL-7B,LingoQA,13,14,significant_sdc,0.270809641373679,965,40508
Qwen2.5-VL-7B,LingoQA,14,15,clean,0.7879915579902285,7958,126662
Qwen2.5-VL-7B,LingoQA,14,15,sdc,0.7346961594755811,9474,194501
Qwen2.5-VL-7B,LingoQA,14,15,significant_sdc,0.35626610078899384,948,39616
Qwen2.5-VL-7B,LingoQA,15,16,clean,0.7629153531377071,7958,126662
Qwen2.5-VL-7B,LingoQA,15,16,sdc,0.7145124879470166,9464,194002
Qwen2.5-VL-7B,LingoQA,15,16,significant_sdc,0.358644292852562,938,39117
Qwen2.5-VL-7B,LingoQA,16,17,clean,0.739720669723734,7958,126662
Qwen2.5-VL-7B,LingoQA,16,17,sdc,0.6756545454885716,9433,192567
Qwen2.5-VL-7B,LingoQA,16,17,significant_sdc,0.19803770721648412,907,37682
Qwen2.5-VL-7B,LingoQA,17,18,clean,0.7320952364591753,7958,126662
Qwen2.5-VL-7B,LingoQA,17,18,sdc,0.694635996696266,9420,191906
Qwen2.5-VL-7B,LingoQA,17,18,significant_sdc,0.49279396053698843,894,37021
Qwen2.5-VL-7B,LingoQA,18,19,clean,0.8171131936325201,7958,126662
Qwen2.5-VL-7B,LingoQA,18,19,sdc,0.7888618585356176,9411,191436
Qwen2.5-VL-7B,LingoQA,18,19,significant_sdc,0.5700910069756012,885,36551
Qwen2.5-VL-7B,LingoQA,19,20,clean,0.7439115456118434,7958,126662
Qwen2.5-VL-7B,LingoQA,19,20,sdc,0.7060632280581075,9381,189974
Qwen2.5-VL-7B,LingoQA,19,20,significant_sdc,0.44550125348329356,855,35089
Qwen2.5-VL-7B,LingoQA,20,21,clean,0.7736693967286503,7958,126662
Qwen2.5-VL-7B,LingoQA,20,21,sdc,0.7325664864447408,9336,187801
Qwen2.5-VL-7B,LingoQA,20,21,significant_sdc,0.4127040791696566,810,32916
Qwen2.5-VL-7B,LingoQA,21,22,clean,0.7484078087315206,7958,126662
Qwen2.5-VL-7B,LingoQA,21,22,sdc,0.6926862403594924,9321,187070
Qwen2.5-VL-7B,LingoQA,21,22,significant_sdc,0.2245406407882305,795,32185
Qwen2.5-VL-7B,LingoQA,22,23,clean,0.8228003488513346,7958,126662
Qwen2.5-VL-7B,LingoQA,22,23,sdc,0.7928002027555499,9297,185889
Qwen2.5-VL-7B,LingoQA,22,23,significant_sdc,0.5510108487885993,771,31004
Qwen2.5-VL-7B,LingoQA,23,24,clean,0.7890235587462064,7958,126662
Qwen2.5-VL-7B,LingoQA,23,24,sdc,0.7607914288217371,9273,184704
Qwen2.5-VL-7B,LingoQA,23,24,significant_sdc,0.6044696814685825,747,29819
Qwen2.5-VL-7B,LingoQA,24,25,clean,0.8030998187213135,7958,126662
Qwen2.5-VL-7B,LingoQA,24,25,sdc,0.7831199805477282,9244,183229
Qwen2.5-VL-7B,LingoQA,24,25,significant_sdc,0.6948747706358644,718,28344
Qwen2.5-VL-7B,LingoQA,25,26,clean,0.9060561603203574,7958,126662
Qwen2.5-VL-7B,LingoQA,25,26,sdc,0.876655971249912,9210,181529
Qwen2.5-VL-7B,LingoQA,25,26,significant_sdc,0.5885280126602559,684,26644
Qwen2.5-VL-7B,LingoQA,26,27,clean,0.9803849770094121,7958,126662
Qwen2.5-VL-7B,LingoQA,26,27,sdc,0.9594182451898312,9173,179650
Qwen2.5-VL-7B,LingoQA,26,27,significant_sdc,0.7181254406424794,647,24801
InternVL3-8B,LingoQA,0,1,clean,0.7802621959865952,7695,163344
InternVL3-8B,LingoQA,0,1,sdc,0.6806333622306029,11673,345947
InternVL3-8B,LingoQA,0,1,significant_sdc,0.4350291245852009,3103,144224
InternVL3-8B,LingoQA,1,2,clean,0.7174744767163186,7695,163344
InternVL3-8B,LingoQA,1,2,sdc,0.5531528437601849,11588,342263
InternVL3-8B,LingoQA,1,2,significant_sdc,0.12597737184192334,3018,140540
InternVL3-8B,LingoQA,2,3,clean,0.6565645066667075,7695,163344
InternVL3-8B,LingoQA,2,3,sdc,0.5416658036215383,11538,339281
InternVL3-8B,LingoQA,2,3,significant_sdc,0.26613733299260695,2968,137558
InternVL3-8B,LingoQA,3,4,clean,0.7610487239479947,7695,163344
