model,dataset,src_layer,tgt_layer,sdc_group,mean_cos_sim,sample_count,finite_step_count
Qwen2.5-VL-7B,LingoQA,0,1,non_sdc,0.7735892891075778,7958,126662
Qwen2.5-VL-7B,LingoQA,0,1,non_significant_sdc,0.7579860247086914,8526,154923
Qwen2.5-VL-7B,LingoQA,1,2,non_sdc,0.7480014804614892,7958,126662
Qwen2.5-VL-7B,LingoQA,1,2,non_significant_sdc,0.7305345132928812,8526,154923
Qwen2.5-VL-7B,LingoQA,2,3,non_sdc,0.6754958139830578,7958,126662
Qwen2.5-VL-7B,LingoQA,2,3,non_significant_sdc,0.6431323612697035,8526,154923
Qwen2.5-VL-7B,LingoQA,3,4,non_sdc,0.7617272938520252,7958,126662
Qwen2.5-VL-7B,LingoQA,3,4,non_significant_sdc,0.7461190934869636,8526,154923
Qwen2.5-VL-7B,LingoQA,4,5,non_sdc,0.728228546963067,7958,126662
Qwen2.5-VL-7B,LingoQA,4,5,non_significant_sdc,0.7040212966315235,8526,154923
Qwen2.5-VL-7B,LingoQA,5,6,non_sdc,0.783971515864313,7958,126662
Qwen2.5-VL-7B,LingoQA,5,6,non_significant_sdc,0.7701050157348065,8526,154923
Qwen2.5-VL-7B,LingoQA,6,7,non_sdc,0.6277355211010327,7958,126662
Qwen2.5-VL-7B,LingoQA,6,7,non_significant_sdc,0.5984926743973309,8526,154923
Qwen2.5-VL-7B,LingoQA,7,8,non_sdc,0.6375380876263663,7958,126662
Qwen2.5-VL-7B,LingoQA,7,8,non_significant_sdc,0.6073042193934038,8526,154923
Qwen2.5-VL-7B,LingoQA,8,9,non_sdc,0.7728409411339867,7958,126662
Qwen2.5-VL-7B,LingoQA,8,9,non_significant_sdc,0.7637255013642372,8526,154923
Qwen2.5-VL-7B,LingoQA,9,10,non_sdc,0.7473351348537911,7958,126662
Qwen2.5-VL-7B,LingoQA,9,10,non_significant_sdc,0.7337891206737982,8526,154923
Qwen2.5-VL-7B,LingoQA,10,11,non_sdc,0.6967271154599376,7958,126662
Qwen2.5-VL-7B,LingoQA,10,11,non_significant_sdc,0.6794598084864799,8526,154923
Qwen2.5-VL-7B,LingoQA,11,12,non_sdc,0.7641736203639902,7958,126662
Qwen2.5-VL-7B,LingoQA,11,12,non_significant_sdc,0.7436305127128127,8526,154911
Qwen2.5-VL-7B,LingoQA,12,13,non_sdc,0.7878067843611972,7958,126662
Qwen2.5-VL-7B,LingoQA,12,13,non_significant_sdc,0.7697372867355302,8526,154885
Qwen2.5-VL-7B,LingoQA,13,14,non_sdc,0.7795404733650378,7958,126662
Qwen2.5-VL-7B,LingoQA,13,14,non_significant_sdc,0.7620200066443673,8526,154885
Qwen2.5-VL-7B,LingoQA,14,15,non_sdc,0.7879915579902285,7958,126662
Qwen2.5-VL-7B,LingoQA,14,15,non_significant_sdc,0.7767735340515703,8526,154885
Qwen2.5-VL-7B,LingoQA,15,16,non_sdc,0.7629153531377071,7958,126662
Qwen2.5-VL-7B,LingoQA,15,16,non_significant_sdc,0.7536638328917268,8526,154885
Qwen2.5-VL-7B,LingoQA,16,17,non_sdc,0.739720669723734,7958,126662
Qwen2.5-VL-7B,LingoQA,16,17,non_significant_sdc,0.7264636555416778,8526,154885
Qwen2.5-VL-7B,LingoQA,17,18,non_sdc,0.7320952364591753,7958,126662
Qwen2.5-VL-7B,LingoQA,17,18,non_significant_sdc,0.7158002918318975,8526,154885
Qwen2.5-VL-7B,LingoQA,18,19,non_sdc,0.8171131936325201,7958,126662
Qwen2.5-VL-7B,LingoQA,18,19,non_significant_sdc,0.8115703037186595,8526,154885
Qwen2.5-VL-7B,LingoQA,19,20,non_sdc,0.7439115456118434,7958,126662
Qwen2.5-VL-7B,LingoQA,19,20,non_significant_sdc,0.7321927716027318,8526,154885
Qwen2.5-VL-7B,LingoQA,20,21,non_sdc,0.7736693967286503,7958,126662
Qwen2.5-VL-7B,LingoQA,20,21,non_significant_sdc,0.7629545406193616,8526,154885
Qwen2.5-VL-7B,LingoQA,21,22,non_sdc,0.7484078087315206,7958,126662
Qwen2.5-VL-7B,LingoQA,21,22,non_significant_sdc,0.7363380995735616,8526,154885
Qwen2.5-VL-7B,LingoQA,22,23,non_sdc,0.8228003488513346,7958,126662
Qwen2.5-VL-7B,LingoQA,22,23,non_significant_sdc,0.8146650387757843,8526,154885
Qwen2.5-VL-7B,LingoQA,23,24,non_sdc,0.7890235587462064,7958,126662
Qwen2.5-VL-7B,LingoQA,23,24,non_significant_sdc,0.7744874580585195,8526,154885
Qwen2.5-VL-7B,LingoQA,24,25,non_sdc,0.8030998187213135,7958,126662
Qwen2.5-VL-7B,LingoQA,24,25,non_significant_sdc,0.7905513740167311,8526,154885
Qwen2.5-VL-7B,LingoQA,25,26,non_sdc,0.9060561603203574,7958,126662
Qwen2.5-VL-7B,LingoQA,25,26,non_significant_sdc,0.8997710924879281,8526,154885
Qwen2.5-VL-7B,LingoQA,26,27,non_sdc,0.9803849770094121,7958,126662
Qwen2.5-VL-7B,LingoQA,26,27,non_significant_sdc,0.9777288767335958,8526,154849
InternVL3-8B,LingoQA,0,1,non_sdc,0.7802621959865952,7695,163344
InternVL3-8B,LingoQA,0,1,non_significant_sdc,0.7695610109369836,8570,201723
InternVL3-8B,LingoQA,1,2,non_sdc,0.7174744767163186,7695,163344
InternVL3-8B,LingoQA,1,2,non_significant_sdc,0.7035863996819252,8570,201723
InternVL3-8B,LingoQA,2,3,non_sdc,0.6565645066667075,7695,163344
InternVL3-8B,LingoQA,2,3,non_significant_sdc,0.6370880324227831,8570,201723
InternVL3-8B,LingoQA,3,4,non_sdc,0.7610487239479947,7695,163344
InternVL3-8B,LingoQA,3,4,non_significant_sdc,0.7503195140712363,8570,201723
InternVL3-8B,LingoQA,4,5,non_sdc,0.7077938873670646,7695,163344
InternVL3-8B,LingoQA,4,5,non_significant_sdc,0.6954026845475881,8570,201723
InternVL3-8B,LingoQA,5,6,non_sdc,0.7584305131030277,7695,163344
InternVL3-8B,LingoQA,5,6,non_significant_sdc,0.7466117198760163,8570,201723
InternVL3-8B,LingoQA,6,7,non_sdc,0.5976178022406717,7695,163344
InternVL3-8B,LingoQA,6,7,non_significant_sdc,0.5800920724599435,8570,201723
InternVL3-8B,LingoQA,7,8,non_sdc,0.6313295313838198,7695,163344
InternVL3-8B,LingoQA,7,8,non_significant_sdc,0.6181722858605966,8570,201723
InternVL3-8B,LingoQA,8,9,non_sdc,0.7186803171184976,7695,163344
InternVL3-8B,LingoQA,8,9,non_significant_sdc,0.7099397237974664,8570,201723
