model,dataset,k,step_window,evaluation_cohort,validation_rows,mean_steps_used,median_steps_used,p95_steps_used,finished_before_k_share,precision,recall,f1,tp,fp,fn,tn
Qwen2.5-VL-7B,EarthVQA,1,prefix,fixed_k50_non_all_nan,3260,1.0,1.0,1.0,0.0,0.8875739644970414,0.8426966292134831,0.8645533141210374,150,19,28,3063
Qwen2.5-VL-7B,EarthVQA,2,prefix,fixed_k50_non_all_nan,3260,2.0,2.0,2.0,0.0,0.967741935483871,0.8426966292134831,0.9009009009009008,150,5,28,3077
Qwen2.5-VL-7B,EarthVQA,4,prefix,fixed_k50_non_all_nan,3260,4.0,4.0,4.0,0.0,0.9036144578313252,0.8426966292134831,0.872093023255814,150,16,28,3066
Qwen2.5-VL-7B,EarthVQA,8,prefix,fixed_k50_non_all_nan,3260,7.992944785276074,8.0,8.0,0.0021472392638036,0.877906976744186,0.848314606741573,0.8628571428571429,151,21,27,3061
Qwen2.5-VL-7B,EarthVQA,12,prefix,fixed_k50_non_all_nan,3260,11.953374233128834,12.0,12.0,0.0171779141104294,0.867816091954023,0.848314606741573,0.8579545454545454,151,23,27,3059
Qwen2.5-VL-7B,EarthVQA,16,prefix,fixed_k50_non_all_nan,3260,15.59325153374233,16.0,16.0,0.1579754601226994,0.9869281045751634,0.848314606741573,0.9123867069486404,151,2,27,3080
Qwen2.5-VL-7B,EarthVQA,24,prefix,fixed_k50_non_all_nan,3260,20.111042944785275,21.0,24.0,0.6665644171779141,0.987012987012987,0.8539325842696629,0.9156626506024096,152,2,26,3080
Qwen2.5-VL-7B,EarthVQA,32,prefix,fixed_k50_non_all_nan,3260,21.112269938650307,21.0,32.0,0.9460122699386504,0.9333333333333332,0.8651685393258427,0.8979591836734694,154,11,24,3071
Qwen2.5-VL-7B,EarthVQA,50,prefix,fixed_k50_non_all_nan,3260,21.904907975460123,21.0,33.0,1.0,0.8770949720670391,0.8820224719101124,0.8795518207282913,157,22,21,3060
Qwen2.5-VL-7B,LingoQA,1,prefix,fixed_k50_non_all_nan,3318,1.0,1.0,1.0,0.0,0.9727891156462584,0.8511904761904762,0.907936507936508,143,4,25,3146
Qwen2.5-VL-7B,LingoQA,2,prefix,fixed_k50_non_all_nan,3318,2.0,2.0,2.0,0.0,0.9664429530201344,0.8571428571428571,0.9085173501577288,144,5,24,3145
Qwen2.5-VL-7B,LingoQA,4,prefix,fixed_k50_non_all_nan,3318,3.9837251356238697,4.0,4.0,0.0081374321880651,0.9863013698630136,0.8571428571428571,0.9171974522292994,144,2,24,3148
Qwen2.5-VL-7B,LingoQA,8,prefix,fixed_k50_non_all_nan,3318,7.910186859553948,8.0,8.0,0.0334538878842676,0.9473684210526316,0.8571428571428571,0.9,144,8,24,3142
Qwen2.5-VL-7B,LingoQA,12,prefix,fixed_k50_non_all_nan,3318,11.530440024110913,12.0,12.0,0.1515973477998794,0.9657534246575342,0.8392857142857143,0.8980891719745223,141,5,27,3145
Qwen2.5-VL-7B,LingoQA,16,prefix,fixed_k50_non_all_nan,3318,14.270343580470165,16.0,16.0,0.3972272453285111,0.979591836734694,0.8571428571428571,0.9142857142857144,144,3,24,3147
Qwen2.5-VL-7B,LingoQA,24,prefix,fixed_k50_non_all_nan,3318,16.833031946955998,17.0,24.0,0.8441832429174201,0.979591836734694,0.8571428571428571,0.9142857142857144,144,3,24,3147
Qwen2.5-VL-7B,LingoQA,32,prefix,fixed_k50_non_all_nan,3318,17.444544906570222,17.0,31.0,0.9511754068716094,0.9726027397260274,0.8452380952380952,0.9044585987261148,142,4,26,3146
Qwen2.5-VL-7B,LingoQA,50,prefix,fixed_k50_non_all_nan,3318,18.158227848101262,17.0,31.0,1.0,0.9724137931034482,0.8392857142857143,0.9009584664536742,141,4,27,3146
Qwen2.5-VL-7B,VQAv2,1,prefix,fixed_k50_non_all_nan,2658,1.0,1.0,1.0,0.0,0.958904109589041,0.6862745098039216,0.8,140,6,64,2448
Qwen2.5-VL-7B,VQAv2,2,prefix,fixed_k50_non_all_nan,2658,1.9988713318284423,2.0,2.0,0.0011286681715575,1.0,0.6813725490196079,0.8104956268221575,139,0,65,2454
Qwen2.5-VL-7B,VQAv2,4,prefix,fixed_k50_non_all_nan,2658,3.9582392776523694,4.0,4.0,0.027464258841234,0.9858156028368794,0.6813725490196079,0.8057971014492754,139,2,65,2452
Qwen2.5-VL-7B,VQAv2,8,prefix,fixed_k50_non_all_nan,2658,7.763732129420617,8.0,8.0,0.0624529721595184,1.0,0.696078431372549,0.8208092485549133,142,0,62,2454
Qwen2.5-VL-7B,VQAv2,12,prefix,fixed_k50_non_all_nan,2658,11.331828442437924,12.0,12.0,0.1414597441685477,1.0,0.696078431372549,0.8208092485549133,142,0,62,2454
Qwen2.5-VL-7B,VQAv2,16,prefix,fixed_k50_non_all_nan,2658,14.265989465763733,16.0,16.0,0.3626787057938299,0.9662162162162162,0.7009803921568627,0.8125,143,5,61,2449
Qwen2.5-VL-7B,VQAv2,24,prefix,fixed_k50_non_all_nan,2658,16.966139954853272,17.0,24.0,0.8423626787057938,0.993006993006993,0.696078431372549,0.8184438040345822,142,1,62,2453
