model,dataset,src_layer,tgt_layer,sdc_group,mean_cos_sim,sample_count,finite_step_count
Qwen2.5-VL-7B,VQAv2,0,1,non_sdc,0.6555292899726541,4129,63980
Qwen2.5-VL-7B,VQAv2,0,1,non_significant_sdc,0.6600145639550111,7217,131369
Qwen2.5-VL-7B,VQAv2,0,1,significant_sdc,0.3310153267004736,1349,55148
Qwen2.5-VL-7B,VQAv2,1,2,non_sdc,0.6416250543124831,4129,63980
Qwen2.5-VL-7B,VQAv2,1,2,non_significant_sdc,0.6415405437954573,7217,131369
Qwen2.5-VL-7B,VQAv2,1,2,significant_sdc,0.12910486594497644,1344,54880
Qwen2.5-VL-7B,VQAv2,2,3,non_sdc,0.5486641716335611,4129,63980
Qwen2.5-VL-7B,VQAv2,2,3,non_significant_sdc,0.538111756537794,7217,131369
Qwen2.5-VL-7B,VQAv2,2,3,significant_sdc,0.40463964246752215,1335,54462
Qwen2.5-VL-7B,VQAv2,3,4,non_sdc,0.6160181514635373,4129,63980
Qwen2.5-VL-7B,VQAv2,3,4,non_significant_sdc,0.6144135922121101,7217,131369
Qwen2.5-VL-7B,VQAv2,3,4,significant_sdc,0.41707284012245116,1316,53483
Qwen2.5-VL-7B,VQAv2,4,5,non_sdc,0.6175515636880685,4129,63980
Qwen2.5-VL-7B,VQAv2,4,5,non_significant_sdc,0.6125351335837911,7217,131369
Qwen2.5-VL-7B,VQAv2,4,5,significant_sdc,0.34668726653692283,1299,52644
Qwen2.5-VL-7B,VQAv2,5,6,non_sdc,0.7029368012005799,4129,63980
Qwen2.5-VL-7B,VQAv2,5,6,non_significant_sdc,0.6982499094713241,7217,131369
Qwen2.5-VL-7B,VQAv2,5,6,significant_sdc,0.3015065586743673,1283,51872
Qwen2.5-VL-7B,VQAv2,6,7,non_sdc,0.4374084514320041,4129,63980
Qwen2.5-VL-7B,VQAv2,6,7,non_significant_sdc,0.42835118195835836,7217,131369
Qwen2.5-VL-7B,VQAv2,6,7,significant_sdc,0.31888552670823894,1258,50640
Qwen2.5-VL-7B,VQAv2,7,8,non_sdc,0.45364395681527825,4129,63980
Qwen2.5-VL-7B,VQAv2,7,8,non_significant_sdc,0.4518865218404096,7217,131369
Qwen2.5-VL-7B,VQAv2,7,8,significant_sdc,0.12793142660830195,1239,49693
Qwen2.5-VL-7B,VQAv2,8,9,non_sdc,0.6217062273851416,4129,63980
Qwen2.5-VL-7B,VQAv2,8,9,non_significant_sdc,0.6246751314413399,7217,131369
Qwen2.5-VL-7B,VQAv2,8,9,significant_sdc,0.24870271098028743,1220,48759
Qwen2.5-VL-7B,VQAv2,9,10,non_sdc,0.5922550205758385,4129,63980
Qwen2.5-VL-7B,VQAv2,9,10,non_significant_sdc,0.5819277398424367,7217,131369
