model,dataset,src_layer,tgt_layer,sdc_group,mean_cos_sim,sample_count,finite_step_count
Qwen2.5-VL-7B,VQAv2,0,1,non_sdc,0.6555292899726541,4129,63980
Qwen2.5-VL-7B,VQAv2,0,1,non_significant_sdc,0.6600145639550111,7217,131369
Qwen2.5-VL-7B,VQAv2,1,2,non_sdc,0.6416250543124831,4129,63980
Qwen2.5-VL-7B,VQAv2,1,2,non_significant_sdc,0.6415405437954573,7217,131369
Qwen2.5-VL-7B,VQAv2,2,3,non_sdc,0.5486641716335611,4129,63980
Qwen2.5-VL-7B,VQAv2,2,3,non_significant_sdc,0.538111756537794,7217,131369
Qwen2.5-VL-7B,VQAv2,3,4,non_sdc,0.6160181514635373,4129,63980
Qwen2.5-VL-7B,VQAv2,3,4,non_significant_sdc,0.6144135922121101,7217,131369
Qwen2.5-VL-7B,VQAv2,4,5,non_sdc,0.6175515636880685,4129,63980
Qwen2.5-VL-7B,VQAv2,4,5,non_significant_sdc,0.6125351335837911,7217,131369
Qwen2.5-VL-7B,VQAv2,5,6,non_sdc,0.7029368012005799,4129,63980
Qwen2.5-VL-7B,VQAv2,5,6,non_significant_sdc,0.6982499094713241,7217,131369
Qwen2.5-VL-7B,VQAv2,6,7,non_sdc,0.4374084514320041,4129,63980
Qwen2.5-VL-7B,VQAv2,6,7,non_significant_sdc,0.42835118195835836,7217,131369
Qwen2.5-VL-7B,VQAv2,7,8,non_sdc,0.45364395681527825,4129,63980
Qwen2.5-VL-7B,VQAv2,7,8,non_significant_sdc,0.4518865218404096,7217,131369
Qwen2.5-VL-7B,VQAv2,8,9,non_sdc,0.6217062273851416,4129,63980
Qwen2.5-VL-7B,VQAv2,8,9,non_significant_sdc,0.6246751314413399,7217,131369
Qwen2.5-VL-7B,VQAv2,9,10,non_sdc,0.5922550205758385,4129,63980
Qwen2.5-VL-7B,VQAv2,9,10,non_significant_sdc,0.5819277398424367,7217,131369
Qwen2.5-VL-7B,VQAv2,10,11,non_sdc,0.5081431128174574,4129,63980
Qwen2.5-VL-7B,VQAv2,10,11,non_significant_sdc,0.502183021717817,7217,131369
Qwen2.5-VL-7B,VQAv2,11,12,non_sdc,0.6607901621469132,4129,63980
Qwen2.5-VL-7B,VQAv2,11,12,non_significant_sdc,0.6506937951564794,7217,131369
Qwen2.5-VL-7B,VQAv2,12,13,non_sdc,0.619537673577165,4129,63980
Qwen2.5-VL-7B,VQAv2,12,13,non_significant_sdc,0.6051764174795542,7217,131369
Qwen2.5-VL-7B,VQAv2,13,14,non_sdc,0.6783233110842614,4129,63980
Qwen2.5-VL-7B,VQAv2,13,14,non_significant_sdc,0.671123495968968,7217,131369
Qwen2.5-VL-7B,VQAv2,14,15,non_sdc,0.7101566993534677,4129,63980
